date,imp_kwh,exp_kwh,batt_profit,min,max,mean,std,spread
2024-06-01,165.26261084492538,0.0,-2.313495991768007,0.01154,0.24896000000000001,0.13795783972125436,0.041377690657261997,0.23742000000000002
2024-06-02,223.25456553217109,26.185791470929612,6.311481087596014,-0.03,0.31445999999999996,0.1115492361111111,0.07878147558204802,0.34446
2024-06-03,142.12710233093975,10.078409929555832,3.8771900489773263,0.009,0.47792,0.17696152777777777,0.06262558135591614,0.46892
2024-06-04,185.85406480162388,18.105597107824785,8.33423537906887,0.10499,0.49859,0.22620937500000002,0.06286048393643653,0.39359999999999995
2024-06-05,186.89438729943979,1.0991802261653114,0.15070150144645744,0.09512999999999999,0.40925,0.17880333333333331,0.04381913480333553,0.31412
2024-06-06,244.4512521581639,0.0,-1.4436641847255998,-0.04117,0.26748,0.10538840277777778,0.0675290949519969,0.30865
2024-06-07,176.39149967771482,0.0,0.0,0.05185,0.26091000000000003,0.13140274305555555,0.03945257183196992,0.20906000000000002
2024-06-08,100.23451428639581,0.17894328500106985,-0.04873254354968287,0.05035,0.32661,0.14371770833333333,0.03199476036630393,0.27626
2024-06-09,71.24617171718403,0.256974544157321,-0.07874649102129659,0.05098,0.30042,0.15460024305555556,0.04919585373463287,0.24944000000000002
2024-06-10,71.34500003299317,2.0889999665999994,0.0,-0.03657,0.23859,0.09307777777777777,0.06822802276568551,0.27516
2024-06-11,215.33799983199182,0.0,0.0,-0.04887,0.22341999999999998,0.06839538194444444,0.07511720890992998,0.27229
2024-06-12,209.28299970093715,16.441339111247142,4.865782030534609,-0.039020000000000006,0.30478,0.10052444444444444,0.09731674789006949,0.3438
2024-06-13,113.28800020021328,44.272153985739585,29.079431773088373,0.12651,1.09617,0.3028072222222222,0.1386844779602255,0.9696600000000001
2024-06-14,191.78166653376275,0.0,0.0,0.10499,0.2995,0.2157851736111111,0.04982650844203075,0.19451
2024-06-15,238.34459408415154,0.0,-1.5249865168276187,0.00895,0.25631,0.11825010416666666,0.05918105628775189,0.24735999999999997
2024-06-16,165.36899186450623,0.0,-0.38824751944970914,-0.04352,0.2539,0.08821618055555555,0.07336712548367504,0.29742
2024-06-17,124.73599959844015,2.421695397835145,1.1804245929946509,0.08885,0.67127,0.19753440972222222,0.08287113375238969,0.58242
2024-06-18,215.38049970398893,2.531401095628885,1.1593491590454845,0.16204,0.57271,0.25814288194444446,0.06562355650997113,0.4106700000000001
2024-06-19,236.58691255195245,12.505402087498151,8.369637756744664,0.05944,0.90024,0.27651038194444444,0.07806001247271466,0.8408
2024-06-20,150.47399956656815,34.89770391745516,22.87261017685736,0.19529,0.72497,0.32736885416666667,0.11522192633236833,0.52968
2024-06-21,220.34143257924504,1.9068215554882313,1.111966249681842,0.204,0.6749299999999999,0.3037594097222222,0.041110148581282153,0.47092999999999996
2024-06-22,214.1082796680587,0.11203084414222213,-6.224252721234768,0.0858,0.43695999999999996,0.2667192013888889,0.05503785665533913,0.35115999999999997
2024-06-23,230.23357215551502,0.0,-9.55186639887735,0.009,0.41020999999999996,0.20009552083333335,0.10248820596244367,0.40120999999999996
2024-06-24,171.7928907281091,0.16370156846613135,-0.23683590441184327,2e-05,0.45759,0.14661506944444444,0.10535524598443663,0.45757
2024-06-25,172.1166657656586,0.0,0.0,-0.04287,0.37192000000000003,0.11925104166666665,0.08602482494562304,0.41479000000000005
2024-06-26,206.18199983342015,0.0,0.0,-0.0324,0.27894,0.07672979166666666,0.07760976990447425,0.31134
2024-06-27,205.45206440636784,0.09169144843212519,-0.03786933668216109,0.03561,0.35978,0.14057559027777777,0.07873219897253635,0.32416999999999996
2024-06-28,216.63500040097995,0.0,0.0,-0.03013,0.25069,0.05627465277777778,0.06817626828063739,0.28082
2024-06-29,132.56699926591185,7.959538130671471,3.649045339484912,-0.04984,0.47096,0.09965260416666667,0.0936219301594639,0.5208
2024-06-30,75.00781965228701,3.767904503419969,0.9636237525170219,-0.04065,0.29549000000000003,0.10378052083333333,0.09645924708657162,0.33614000000000005
2024-07-01,126.62133316420996,17.22152411012633,7.516887298974308,0.10715000000000001,0.5515599999999999,0.2638720486111111,0.05776061246415728,0.4444099999999999
2024-07-02,236.75366673278725,1.0839490325501484,0.38757302557374246,0.10701000000000001,0.36735,0.2346576388888889,0.06048766300897449,0.26034
2024-07-03,170.24488105126775,12.84041857823241,8.170058911361593,0.04182,0.6841799999999999,0.19561347222222222,0.07683232825610313,0.6423599999999999
2024-07-04,232.61627184419976,2.564047014910951,0.24407979176301886,0.049409999999999996,0.48825999999999997,0.20437197916666666,0.07950572262557953,0.43884999999999996
2024-07-05,250.20334811805535,0.3967013513905046,-2.502429076191579,0.04629,0.45738,0.18307951388888888,0.07515845941320018,0.41109
2024-07-06,171.3882892015994,0.0,-5.596936615102642,0.03362,0.28878,0.1547065277777778,0.07692554377296122,0.25516
2024-07-07,86.64699946675329,0.0,0.0,0.00895,0.29929,0.11811659722222223,0.08509940685408648,0.29034
2024-07-08,115.58299983474001,0.0,0.0,0.04932,0.30625,0.19342371527777777,0.07454852881758553,0.25693
2024-07-09,204.68566696743466,0.0,0.0,0.09136,0.29929,0.20250847222222224,0.050222156781684554,0.20793
2024-07-10,190.74281671330664,8.222568530967525,4.697043951193726,0.04844,0.7084600000000001,0.21282597222222222,0.0749374108207303,0.66002
2024-07-11,266.4530000320079,0.0,0.0,-0.054799999999999995,0.30823,0.15058760416666667,0.09425842192238967,0.36303
2024-07-12,120.17484336212937,1.7667585769999097,0.3780143710880172,0.01242,0.52228,0.2178548263888889,0.08179905658689685,0.50986
2024-07-13,118.92833393472,0.3151067734473782,0.04596680072383849,0.00897,0.37339,0.16567201388888889,0.07470780469963052,0.36442
2024-07-14,99.69708105854237,0.0,-0.059844382442820476,-0.019989999999999997,0.33125,0.15607295138888888,0.0895293128178045,0.35124
2024-07-15,139.00599916730516,0.0,0.0,0.00897,0.26579,0.11516989583333334,0.058149826562573705,0.25682000000000005
2024-07-16,184.5409992981681,0.0,0.0,-0.01402,0.27282,0.09525986111111112,0.07153914024809836,0.28684
2024-07-17,225.1093320971986,0.10200000000000009,0.0,0.04371,0.27051,0.1424734722222222,0.06371292164949122,0.22679999999999997
2024-07-18,190.7565022448706,16.543664555764945,5.374884121411502,0.041210000000000004,0.41070999999999996,0.1610579166666667,0.08580395235794155,0.36949999999999994
2024-07-19,272.901284780858,5.926377582037221,1.3516480345643522,-0.030010000000000002,0.38489999999999996,0.07807194444444444,0.07490478830614598,0.41490999999999995
2024-07-20,150.165999866748,0.0,0.0,-0.05744,0.16296000000000002,0.031136180555555552,0.03699760404704123,0.2204
2024-07-21,99.0420001996679,0.2390001336000001,0.0,-0.048,0.20036,0.03507756944444444,0.044466089130634795,0.24836000000000003
2024-07-22,109.02499973486388,0.06900010020000003,0.0,-0.030010000000000002,0.18178999999999998,0.04733784722222222,0.0526406391434038,0.2118
2024-07-23,193.65800040080137,0.0,0.0,-0.05003,0.18694,0.02326982638888889,0.054228975228425215,0.23697
2024-07-24,234.8969997661039,0.0,0.0,-0.054799999999999995,0.16615,0.021093715277777775,0.04038989471216059,0.22094999999999998
2024-07-25,173.43885425653042,12.466635431055428,11.678359339337375,-0.03304,1.39336,0.10304270833333334,0.11071963815006748,1.4264
2024-07-26,219.2642303869924,1.2418739599082602,0.05543954550488768,-0.061380000000000004,0.26203,0.040403784722222225,0.06978081818573972,0.32341
2024-07-27,129.99199976740286,0.5832919155194994,0.1268885786776109,0.00654,0.26727999999999996,0.09324395833333333,0.057247282347665886,0.26073999999999997
2024-07-28,61.310072382160804,10.12068119516242,1.5176589361573392,-0.05003,0.35696,0.10597107638888889,0.10239306069227265,0.40699
2024-07-29,79.28799963234005,52.590941310710974,179.4035810188845,0.08453000000000001,3.94496,0.29648690972222225,0.5698007591556186,3.86043
2024-07-30,163.4565306274206,11.812835435726903,139.57208691321307,0.019190000000000002,17.376900000000003,0.29650489583333334,1.192753667338949,17.357710000000004
2024-07-31,194.66044348020895,3.2843784895082875,6.578877965297335,0.019190000000000002,3.94496,0.2841990277777778,0.517375246340488,3.92577
2024-08-01,172.81512013656086,0.7898204580655441,-0.1523543098261878,0.03595,1.41565,0.17831309027777778,0.11617524552586621,1.3797000000000001
2024-08-02,372.88158063799364,11.0029997328,-1.7381458487198818,-0.04352,0.2995,0.08253052083333333,0.10000977576645549,0.34302
2024-08-03,81.80799916616395,0.9220000667999996,0.0,0.01456,0.35462,0.19031847222222223,0.07822866339617365,0.34006
2024-08-04,63.57965087094734,18.528712589694116,-0.010008238639819655,0.04629,0.36007,0.21873243055555555,0.06408626768869395,0.31378
2024-08-05,64.34793696662612,136.7680305114206,2003.2426013261233,0.08309,17.5,2.165026215277778,4.5643712925659985,17.41691
2024-08-06,366.12640130928736,11.516666766799998,3.7419031089205053,-0.045939999999999995,0.28706,0.12372652777777778,0.09819138140908094,0.33299999999999996
2024-08-07,151.64515172967361,22.736999599199997,-0.12030943651978825,-0.039009999999999996,0.28737,0.11962350694444443,0.09200377005148414,0.32638
2024-08-08,239.79400010090794,10.827000200399997,0.0,-0.048,0.25909,0.06516371527777778,0.0845407038538232,0.30709
2024-08-09,69.83099979935986,30.917000334,0.0,0.00897,0.2995,0.18961565972222222,0.05689341150549844,0.29053
2024-08-10,58.11299949743999,38.550999866400005,0.0,-0.011460000000000001,0.29195,0.15567229166666668,0.06712094286981857,0.30341
2024-08-11,27.79699996582359,60.10363637471373,2.765624461521491,-0.00827,0.31518,0.14731708333333335,0.07421051330869546,0.32345
2024-08-12,85.62526212837011,47.030207392648386,0.842157473491061,-0.048,0.2995,0.08443479166666666,0.10166767253645992,0.3475
2024-08-13,170.90304463453808,40.337000233800005,-0.05389515456940861,-0.05485,0.2785,0.06215034722222222,0.08650318438007332,0.33335000000000004
2024-08-14,120.98166639922518,26.726233451837963,0.45237592766504614,-0.04389,0.29302,0.10029430555555556,0.0829440664070029,0.33691
2024-08-15,191.01455300688013,23.819530841656924,0.1568629461192502,-0.052469999999999996,0.27522,0.04973152777777778,0.08517411211957605,0.32769000000000004
2024-08-16,107.29666699946789,2.8289997995999996,0.0,-0.02902,0.24519,0.09344604166666666,0.06497852631858345,0.27421
2024-08-17,66.2320858055594,32.37374309292482,2.518009751736555,-0.04439,0.28845,0.1016104861111111,0.07060079939366262,0.33283999999999997
2024-08-18,22.723333033154006,120.33168642837258,19.840398232701006,0.00897,0.29436,0.14522947916666668,0.07728648965377485,0.28539000000000003
2024-08-19,146.6119395257701,63.03542911757305,2.5976022901696587,-0.04389,0.29929,0.10019177083333333,0.07026484276584535,0.34318
2024-08-20,156.4600631737635,2.8870000667999998,-0.03761881667343806,-0.039009999999999996,0.23821,0.04871295138888889,0.06656563369725246,0.27722
2024-08-21,140.47766623307743,12.953999699400004,0.0,-0.04683,0.19788,0.07155722222222222,0.06288066119671305,0.24470999999999998
2024-08-22,120.76066656613332,57.38760315421538,0.020685618199060046,-0.04233,0.2445,0.06824934027777778,0.0682660461354248,0.28683
2024-08-23,143.54907851378834,40.98399966600002,-0.0022252618737499145,-0.0354,0.15045,0.03213368055555556,0.0410308973109473,0.18585000000000002
2024-08-24,50.89899956569318,74.29600046760002,0.0,-0.0681,0.09281,-0.0009782638888888888,0.043602876976171066,0.16091
2024-08-25,38.32399983324,59.47100023380002,0.0,-0.09001,0.011470000000000001,-0.027039513888888887,0.022819327092652813,0.10148000000000001
2024-08-26,62.20588719816275,37.71509820828164,0.13835825849509154,-0.04505,0.20631,0.00765232638888889,0.05179090436944788,0.25136
2024-08-27,142.9750002001479,11.527999732800001,0.0,-0.058070000000000004,0.02514,-0.025767604166666666,0.019252618777196313,0.08321
2024-08-28,151.0886669000479,51.279000100200015,0.0,-0.061799999999999994,0.08889,-0.025111527777777778,0.03308252563193111,0.15069
2024-08-29,129.79666680026668,15.034000768199999,0.0,-0.05003,0.09333,-0.009272152777777777,0.03026835283762086,0.14336
2024-08-30,107.38866686683863,53.25899999999999,0.0,-0.06455,0.0112,-0.03163930555555555,0.022962579531697124,0.07575
2024-08-31,38.43599999961601,18.68899973280001,0.0,-0.061380000000000004,0.00895,-0.035372812499999996,0.018606277276316942,0.07033
